Name,Specialty,Symptoms,Usual onset,Duration,Causes,Risk factors,Diagnostic method,Prevention,Treatment,Prognosis,Frequency,Medication,ImageURL
Trouble swallowing,Gastroenterology,Inability or difficulty swallowing,,,"Esophageal cancer, Esophagitis, Stomach cancer, mental illness, alcoholism, refeeding syndrome, starvation, infection, gastritis, malnutrition",,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e1/Tractus_intestinalis_esophagus.svg
Truncus arteriosus,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/10/Anatomy_posture_and_body_mechanics_08.web.jpg
"Trypanosomiasis , American",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/8e/AcuteSleepingSickness.jpg
Tuberculosis,"Infectious disease, pulmonology","Chronic cough, fever, cough with bloody mucus, weight loss",,,Mycobacterium tuberculosis,"Smoking, HIV/AIDS","CXR, culture, tuberculin skin test","Screening those at high risk, treatment of those infected, vaccination with bacillus Calmette-GuÃ©rin (BCG)",Antibiotics,,25% of people (latent TB),,https://upload.wikimedia.org/wikipedia/commons/0/03/Carswell-Tubercle.jpg
Tuberous sclerosis,"Neurology, medical genetics",,,,,,,,,normal life expectancy,"7 to 12 per 100,000",,https://upload.wikimedia.org/wikipedia/commons/a/a4/Angiomyolipome_TubSklerose_cor.jpg
Tularemia,Infectious disease,"Fever, skin ulcer, large lymph nodes",,,"Francisella tularensis (spread by ticks, deer flies, contact with infected animals)",,"Blood tests, microbial culture","Insect repellent, wearing long pants, rapidly removing ticks, not disturbing dead animals",,Generally good with treatment,~200 cases per year (US),"Streptomycin, Gentamicin, doxycycline, ciprofloxacin",https://upload.wikimedia.org/wikipedia/commons/3/38/Chocolate_agar_1.jpg
"Tumor , salivary gland",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/fa/Coronal_MRI_showing_right_parotid_adenoid_cystic_carcinoma_with_perineural_spread_of_tumor.jpg
Turner syndrome,"Pediatrics, medical genetics","Webbed neck, short stature, swollen hands and feet",At birth,Long term,Missing X chromosome,,"Physical signs, genetic testing",,,Shorter life expectancy,"1 in 2,000 to 5,000","Human growth hormone, estrogen replacement therapy",https://upload.wikimedia.org/wikipedia/commons/1/1b/45%2CX.jpg
Type 1 diabetes,Endocrinology,"Frequent urination, increased thirst, increased hunger, weight loss",Relatively short period of time,Long term,Body does not produce enough insulin,"Family history, celiac disease","Blood sugar, A1C",Unknown,"Insulin, diabetic diet, exercise",,~7.5% of diabetes cases,,https://upload.wikimedia.org/wikipedia/commons/4/43/Blue_circle_for_diabetes.svg
Type 1 diabetes in children,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/43/Blue_circle_for_diabetes.svg
Type 2 diabetes,Endocrinology,"Increased thirst, frequent urination, unexplained weight loss, increased hunger",Middle or older age,Long term,"Obesity, lack of exercise, genetics",,Blood test,"Maintaining normal weight, exercising, eating properly","Dietary changes, metformin, insulin, bariatric surgery",10 year shorter life expectancy,392 million (2015),,https://upload.wikimedia.org/wikipedia/commons/4/43/Blue_circle_for_diabetes.svg
Type 2 diabetes in children,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/43/Blue_circle_for_diabetes.svg
Typhoid fever,Infectious disease,"Fever that starts low and increases daily, possibly reaching as high as 104.9 Â°F (40.5 Â°C) Headache, Weakness and fatigue, Muscle aches, Sweating, Dry cough, Loss of appetite and weight loss, Stomach pain, Diarrhea or constipation, Rash, Swollen stomach (enlarged liver or spleen)",1â€“2 weeks after ingestion,Usually 7â€“10 days after antibiotic treatment begins. Longer if there are complications or drug resistance,Gastrointestinal infection of Salmonella enterica serovar Typhi,"Work in or travel to areas where typhoid fever is established, Work as a clinical microbiologist handling Salmonella typhi bacteria, Have close contact with someone who is infected or has recently been infected with typhoid fever, Drink water polluted by sewage that contains Salmonella typhi",,Preventable by vaccine. Travelers to regions with higher typhoid prevalence are usually encouraged to get a vaccination before travel.,"Antibiotics, hydration, surgery in extreme cases. Quarantine to avoid exposing others (not commonly done in modern times)","Likely to recover without complications if proper antibiotics administered and diagnosed early. If infecting strain is multi-drug resistant or extensively drug resistant then prognosis more difficult to determine. Among untreated acute cases, 10% will shed bacteria for three months after initial onset of symptoms, and 2â€“5% will become chronic typhoid carriers. Some carriers are diagnosed by positive tissue specimen. Chronic carriers are by definition asymptomatic.",,,https://upload.wikimedia.org/wikipedia/commons/b/bd/Almroth_Wright_c1900.jpg
"Ulcer , aphthous",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2d/Aphtha2.jpg
"Ulcer , peptic",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1a/Antisectetory_drugs.jpg
"Ulcer , rectal",,,,,,,,,,,,,
Ulcerative colitis,Gastroenterology,"Abdominal pain, diarrhea mixed with blood, weight loss, fever, anemia",15â€“30 years or > 60 years,Long term,Unknown,,Colonoscopy with tissue biopsies,,"Dietary changes, medication, surgery",,"2-299 per 100,000","Sulfasalazine, mesalazine, steroids, immunosuppressants such as azathioprine, biological therapy",https://upload.wikimedia.org/wikipedia/commons/2/2d/Aphtha2.jpg
Ulnar wrist pain,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e8/Wrist_pain.jpg
Umbilical hernia,General surgery,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/de/Children_with_umbilical_hernias%2C_Sierra_Leone_%28West_Africa%29%2C_1967.jpg
Uncontrollable laughter and crying,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/82/PBA_is_not_depression.png
Underactive thyroid,Endocrinology,"Poor ability to tolerate cold, feeling tired, constipation, weight gain, depression, anxiety, irritability",< 60 years old,,"Iodine deficiency, Hashimoto's thyroiditis",,"Blood tests (thyroid-stimulating hormone, thyroxine)",Salt iodization,Levothyroxine,,0.3â€“0.4% (USA),,https://upload.wikimedia.org/wikipedia/commons/0/0b/CDpic1.png
Under-eye puffiness,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/bd/Eye_bags.png
Undescended testicle,Medical genetics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/be/Dog_Necropsy_-_Retained_testicle_with_cancer.jpg
Undifferentiated pleomorphic sarcoma,Oncology,,,,Unknown,,,,,Guarded,Rare,,https://upload.wikimedia.org/wikipedia/commons/5/55/Pleomorphic_undifferentiated_sarcoma_-_very_high_mag.jpg
Upset stomach,Gastroenterology General surgery,,,,"Serious: Appendicitis, perforated stomach ulcer, pancreatitis, ruptured diverticulitis, ovarian torsion, volvulus, ruptured aortic aneurysm, lacerated spleen or liver, ischemic colitis, ischaemic myocardial conditions Common: Gastroenteritis, irritable bowel syndrome",,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/4d/Gray1220.png
Ureteral cancer,Oncology Urology,Blood in the urine,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/af/Cystoscopy_-_Uretereal_Cancer.jpg
Ureteral obstruction,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1c/Wiki_letter_w_cropped.svg
Urethral stricture,,,,,,,,,,,,,
Urinary incontinence,"Urology, gynecology",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f9/1116_Muscle_of_the_Female_Perineum.png
Urinary tract infection ( UTI ),,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9b/Bacteriuria_pyuria_4.jpg
Urine color,,,,,,,,,,,,,
"Urine , blood in",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e9/HematuriaGross.jpg
Urticaria,"Dermatology, Clinical immunology, Allergology","Red, raised, itchy bumps",,A few days,"Following an infection, result of an allergic reaction","Hay fever, asthma","Based on symptoms, patch testing",,"Antihistamines, corticosteroids, leukotriene inhibitors",,~20%,,https://upload.wikimedia.org/wikipedia/commons/6/63/EMminor2010.JPG
Urticaria,"Dermatology, Clinical immunology, Allergology","Red, raised, itchy bumps",,A few days,"Following an infection, result of an allergic reaction","Hay fever, asthma","Based on symptoms, patch testing",,"Antihistamines, corticosteroids, leukotriene inhibitors",,~20%,,https://upload.wikimedia.org/wikipedia/commons/6/63/EMminor2010.JPG
Uterine cancer,"Gynecology, oncology","Endometrial cancer: vaginal bleeding, pelvic painUterine sarcoma: vaginal bleeding, mass in the vagina",,,,"Endometrial cancer: obesity, metabolic syndrome, type 2 diabetes, tamoxifen use, unopposed estrogens, late menopause, family history of the conditionUterine sarcoma: radiation therapy to the pelvis",,,"Surgery, radiation therapy, chemotherapy, hormone therapy, targeted therapy",,3.8 million (2015),,https://upload.wikimedia.org/wikipedia/commons/a/ad/Corpus_uteri_cancer_world_map_-_Death_-_WHO2004.svg
Uterine myoma,Gynecology,Painful or heavy periods,Middle and later reproductive years,,Unknown,"Family history, obesity, eating red meat","Pelvic examination, medical imaging",,"Medications, surgery, uterine artery embolization",Improve after menopause,~50% of women by age 50,"Ibuprofen, paracetamol (acetaminophen), iron supplements, gonadotropin releasing hormone agonist",https://upload.wikimedia.org/wikipedia/commons/7/74/9cmFibroidPelvicCongestionS.png
Uterine polyps,Gynecology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0d/Nucleated_red_blood_cells_-_endometrial_polyp_-_low_mag.jpg
Uterine prolapse,Gynecology,"Vaginal fullness, pain with sex, trouble urinating, urinary incontinence, constipation",Gradual,,,"Pregnancy, childbirth, obesity, constipation, chronic cough",Based on examination,,"Pessary, hormone replacement therapy, surgery",,About 14% of women,,https://upload.wikimedia.org/wikipedia/commons/a/ab/Uterine_prolapse.jpg
Uterus didelphys,Gynaecology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/8e/Uterine_malformation.jpg
Uveal melanoma,Oncology,A sensation of flashes or specks of dust (floaters); growing dark spot on the iris; change in the shape of the pupil; poor or blurry vision in one eye; loss of peripheral vision in one eye.,Visual abnormalities,,,,clinical examination by biomicroscopy and indirect ophthalmoscopy,Reduce UV exposure to the eye.,"Brachytherapy, enucleation, proton beam radiotherapy, transpupillary thermotherapy, photocoagulation, photodynamic therapy, and local resection.",,5 cases per million people per year ,,https://upload.wikimedia.org/wikipedia/commons/6/6b/Iris_melanoma.jpg
Uveitis,Ophthalmology,"Headaches, red eyes, blurred vision, photophobia, burning and redness of the eye",,,"BehÃ§et disease, Crohn's disease, Fuchs heterochromic iridocyclitis, Granulomatosis with polyangiitis, HLA-B27 related uveitis, Juvenile idiopathic arthritis, Sarcoidosis, Spondyloarthritis, Sympathetic ophthalmia, Tubulointerstitial nephritis and uveitis syndrome, brucellosis, herpesviruses, leptospirosis, Lyme disease, presumed ocular histoplasmosis syndrome, syphilis, toxocariasis, toxoplasmic chorioretinitis, tuberculosis, Zika fever",,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5d/Blausen_0390_EyeAnatomy_Sectional.png
Vaginal agenesis,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6c/Agenesia_de_vagina2.png
Vaginal atrophy,Gynecology,"Pain with sex, vaginal itchiness or dryness, an urge to urinate",,Long term,Lack of estrogen,"Menopause, breastfeeding, certain medications",Based on symptoms,,Vaginal estrogen,,Half of women (after menopause),,https://upload.wikimedia.org/wikipedia/commons/8/85/Vaginal_Mucosa_Normal_vs_Menopause.png
Vaginal cancer,Oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/65/Diagram_showing_a_radical_hysterectomy_for_vaginal_cancer_CRUK_075.svg
Vaginal fistula,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/dc/Rectovestibular_fistula_in_females.jpg
"Vaginal prolapse , posterior",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b4/The_science_and_art_of_midwifery_%281891%29_%2814579471209%29.jpg
Vaginitis,Gynecology,"Itching, burning, pain, discharge, bad smell",,,"Infections (bacterial vaginosis, vaginal yeast infection, trichomoniasis), allergic reactions, low estrogen",,"Based on examination, measuring the pH, culturing the discharge",,Based on the cause,,~33% of women (at some point),,
Valley fever,Infectious disease,,,,Coccidioides,,,,Antifungal medication,,,"Amphotericin B, itraconazole, fluconazole",https://upload.wikimedia.org/wikipedia/commons/0/0c/Coccidiodes_lesion_1.jpg
Valvular heart disease,Cardiology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e5/Diagram_of_the_human_heart_%28cropped%29.svg
Varicella,Infectious disease,"Small, itchy blisters, headache, loss of appetite, tiredness, fever",10â€“21 days after exposure,5â€“10 days,Varicella zoster virus,,,Varicella vaccine,,,,"Calamine lotion, paracetamol (acetaminophen), aciclovir",https://upload.wikimedia.org/wikipedia/commons/a/af/A_child_with_chickenpox_%2801%29.jpg
"Varices , esophageal",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/09/Esophageal_varices_-_post_banding.jpg
Varicocele,Urology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/af/Gray1147.png
Varicose veins,"Vascular surgery, dermatology","None, fullness, pain in the area",,,,"Obesity, not enough exercise, leg trauma, family history, pregnancy",Based on examination,,"Compression stockings, exercise, sclerotherapy, surgery",Commonly reoccur,Very common,,https://upload.wikimedia.org/wikipedia/commons/8/86/Blausen_0891_VaricoseVein.png
Variola,Infectious disease,"Early: Fever, vomiting, mouth sores Later: Fluid filled blisters which scab over",1 to 3 weeks following exposure,About 4 weeks,"Variola major, Variola minor (spread between people)",,Based on symptoms and confirmed by PCR,Smallpox vaccine,Supportive care,30% risk of death,Eradicated (last wild case in 1977),Brincidofovir,
Vascular dementia,"Psychiatry, neurology",cognitive impairment,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/77/Open_Access_logo_PLoS_transparent.svg
Vascular rings,Vascular system,,,,,,,,,,,,
Vasculitis,"Rheumatology, Immunology","Weight loss, fever, myalgia, purpura",,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/17/Churg-Strauss_syndrome_-_very_high_mag.jpg
Vasomotor rhinitis,Otolaryngology,,,,,,,,,,,,
Vasovagal syncope,"Neurology, cardiovascular","Loss of consciousness before which there may be sweating, decreased ability to see, ringing in the ears",,Brief,,,Based on symptoms after ruling out other possible causes,,"Avoiding triggers, drinking sufficient fluids, exercise, cardiac pacemaker",,"> 1 per 1,000 people per year","Midodrine, fludrocortisone",https://upload.wikimedia.org/wikipedia/commons/4/4b/Gray793.png
vCJD,"Infectious disease, Neurology","Initial: Psychiatric problems, behavioral changes, painful sensations Later: Poor coordination, Dementia, Involuntary movements",Years after initial exposure,~13-month life expectancy,Prion,Eating beef from cows with bovine spongiform encephalopathy,"Suspected based on symptoms, confirmed by Brain biopsy",Not eating contaminated beef,Supportive care,Invariably fatal,Fewer than 250 reported cases as of 2012,,https://upload.wikimedia.org/wikipedia/commons/2/21/Eeg_CJD.jpg
Ventricular septal defect,Cardiac surgery,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/81/Heart_right_vsd.jpg
Ventricular tachycardia,Cardiology,"Lightheadedness, palpitations, chest pain",,,"Coronary heart disease, aortic stenosis, cardiomyopathy, electrolyte problems, heart attack",,Electrocardiogram,"Implantable cardiac defibrillator, calcium channel blockers, amiodarone","Procainamide, cardioversion, cardiopulmonary resuscitation",,~7% of people in cardiac arrest,,https://upload.wikimedia.org/wikipedia/commons/c/c4/Electrocardiogram_of_Ventricular_Tachycardia.png
Vertebral tumor,,,,,,,,,,,,,
Vertigo,Otorhinolaryngology,"Feeling of spinning or swaying, vomiting, difficulty walking",,,"Benign paroxysmal positional vertigo (BPPV), MÃ©niÃ¨re's disease, labyrinthitis, stroke, brain tumors, brain injury, multiple sclerosis, migraine",,,,,,20â€“40% at some point,,https://upload.wikimedia.org/wikipedia/commons/e/ec/Prochlorperazine.svg
Vesicoureteral reflux,Urology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/85/Ultrasound_Scan_ND_0119092150_0939241.png
Vestibular schwannoma,Neuro-oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/8c/Nf2.jpg
V-fib,Cardiology,Cardiac arrest with loss of consciousness and no pulse,,,"Coronary heart disease (including myocardial infarction), valvular heart disease, cardiomyopathy, Brugada syndrome, long QT syndrome, intracranial hemorrhage",,Electrocardiogram,,Cardiopulmonary resuscitation (CPR) with defibrillation,"Survival rate 17% (out of hospital), 46% (in hospital)",~10% of people in cardiac arrest,,https://upload.wikimedia.org/wikipedia/commons/5/5a/3D_Medical_Animation_of_Left_Atrial_Appendage_Occlusion.jpg
